x_2dvec,y,W_0,b,V_0,c
"[-5.901573181152344, -2.3224077224731445]",0.0,"[3.766297233069312, 0.8246456599610856]","[-3.8762352601617853, -0.38616798387186607]",[5.033001059065728],[-4.411778682919403]
"[2.666309118270874, -2.3913111686706543]",1.0,"[-4.5138590563676555, 1.4929947489088926]",,[-4.33865154281732],
"[0.7721290588378906, 0.33876803517341614]",0.0,,,,
"[0.5935904383659363, -5.995926856994629]",0.0,,,,
"[-8.482419967651367, -13.197328567504883]",0.0,,,,
"[1.0492546558380127, -1.9423191547393799]",0.0,,,,
"[0.027512360364198685, 2.6333212852478027]",0.0,,,,
"[1.6582417488098145, 2.8883936405181885]",1.0,,,,
"[7.315738201141357, -1.4371461868286133]",0.0,,,,
"[2.113074541091919, 7.993511199951172]",0.0,,,,
