x_2dvec,y,W_0,b,V_0,c
"[-0.35303249955177307, 0.7684316039085388]",0.0,"[0.04939795657992363, 0.07860225439071655]","[-0.18285103142261505, -0.6509423851966858]",[-0.6991710662841797],[-0.5890552401542664]
"[-1.277969479560852, -1.1480953693389893]",0.0,"[0.3461240231990814, 0.11012187600135803]",,[-0.46211686730384827],
"[1.2028528451919556, -0.15801580250263214]",0.0,,,,
"[1.469244122505188, 0.7286525964736938]",0.0,,,,
"[0.8456394672393799, -0.4998597502708435]",0.0,,,,
"[-0.6939413547515869, 0.5794621109962463]",1.0,,,,
"[0.2787379026412964, 0.7940008044242859]",1.0,,,,
"[0.3016985058784485, 0.7141942977905273]",0.0,,,,
"[-0.3063168525695801, -0.6978645324707031]",0.0,,,,
"[0.7574689984321594, 0.17907530069351196]",0.0,,,,
