x_2dvec,y,W_0,b,V_0,c
"[11.089816093444824, -7.650768756866455]",0.0,"[3.997930971630306, 5.263792007989817]","[1.8545464043349746, 0.8022034979122816]",[-10.138863903781072],[5.011585514576293]
"[0.056491270661354065, -6.511316299438477]",0.0,"[1.0697808564437876, -1.8901295446798299]",,[-10.424238357421006],
"[4.997536659240723, -0.8778690695762634]",0.0,,,,
"[6.12075138092041, -5.130788803100586]",0.0,,,,
"[-5.544120788574219, -6.209939956665039]",0.0,,,,
"[1.1069955825805664, 0.17538189888000488]",0.0,,,,
"[-7.478303909301758, 0.5124131441116333]",1.0,,,,
"[-7.994666576385498, 0.8285173177719116]",1.0,,,,
"[-3.6223511695861816, 1.8057714700698853]",1.0,,,,
"[-3.0291082859039307, 2.4992780685424805]",0.0,,,,
