x_2dvec,y,W_0,b,V_0,c
"[-1.1959279775619507, -1.7239000797271729]",0.0,"[-0.5142641067504883, -0.5478421449661255]","[-0.07914337515830994, 0.13920937478542328]",[-0.43312978744506836],[-0.8682206869125366]
"[0.32779911160469055, -0.0009296927019022405]",1.0,"[-0.09929168224334717, 0.32802829146385193]",,[-0.019378019496798515],
"[-0.32181426882743835, 0.05097854882478714]",0.0,,,,
"[0.05139147862792015, -1.8636738061904907]",0.0,,,,
"[0.14383476972579956, -0.8891292214393616]",0.0,,,,
"[0.8257456421852112, -0.9127084612846375]",1.0,,,,
"[-1.0501788854599, 0.21275503933429718]",0.0,,,,
"[-0.3424438238143921, -3.249725341796875]",0.0,,,,
"[0.5918914079666138, 1.8070263862609863]",0.0,,,,
"[-0.935553252696991, 1.2251306772232056]",0.0,,,,
