x_2dvec,y,W_0,b,V_0,c
"[0.8815467953681946, 1.666669249534607]",0.0,"[-0.6745147705078125, -0.06643127650022507]","[0.6813302040100098, 0.602775514125824]",[-0.5291800498962402],[-0.030427156016230583]
"[-1.119200348854065, 1.7415944337844849]",0.0,"[0.3535630404949188, -0.3125201463699341]",,[0.20720002055168152],
"[-0.1515427529811859, 0.16027246415615082]",0.0,,,,
"[-0.6710415482521057, 0.6856221556663513]",1.0,,,,
"[-0.2556080222129822, -1.9470257759094238]",0.0,,,,
"[1.0563979148864746, -0.5749477744102478]",0.0,,,,
"[1.1127636432647705, -0.21514037251472473]",1.0,,,,
"[1.0562677383422852, -2.696132183074951]",1.0,,,,
"[0.8554935455322266, -0.9888641238212585]",1.0,,,,
"[-0.0033017746172845364, -0.38646504282951355]",0.0,,,,
